Year,Make,Model,Title,Build date,Indicated Odometer Reading,Fuel Type,No. of Cylinders,VIN,URL,Sold price (AUD),Closed date
2013,Toyota,Yaris,2013 Toyota Yaris YR NCP130R Manual Hatchback Auction (0001-10910372) | Grays Australia,2013-01,105487,Petrol,4,JTDJW3D300D532446,https://www.grays.com/lot/0001-10910372/motor-vehicles-motor-cycles/2013-toyota-yaris-yr-ncp130r-manual-hatchback,3600,09 March 2025
2013,Ford,Focus,2013 Ford Focus Titanium LW II Automatic Hatchback Auction (0001-10347470) | Grays Australia,2013-04,205318,Petrol,4,MPB1XXMXB1DP33886,https://www.grays.com/lot/0001-10347470/motor-vehicles-motor-cycles/2013-ford-focus-titanium-lw-ii-automatic-hatchback,5101,09 March 2025
2008,BMW,1,2008 BMW 1 35i E88 Automatic Convertible Auction (0001-10347365) | Grays Australia,2008-11,150780,Petrol,6,WBAUN92070VG75044,https://www.grays.com/lot/0001-10347365/motor-vehicles-motor-cycles/2008-bmw-1-35i-e88-automatic-convertible,7300,09 March 2025
2007,Mitsubishi,Express,2007 Mitsubishi Express SWB SJ Manual Van Auction (0001-9057531) | Grays Australia,2007-02,297437,Petrol,4,JMFGNP04V7A002236,https://www.grays.com/lot/0001-9057531/motor-vehicles-motor-cycles/2007-mitsubishi-express-swb-sj-manual-van,900,09 March 2025
2005,Toyota,Camry,2005 Toyota Camry Grande MCV36R Automatic Sedan Auction (0001-21044844) | Grays Australia,2005-10,121630,Petrol,6,6T153XK360X315587,https://www.grays.com/lot/0001-21044844/motor-vehicles-motor-cycles/2005-toyota-camry-grande-mcv36r-automatic-sedan,2809,09 March 2025
2016,Holden,Commodore,2016 Holden Commodore Evoke VF Series II Automatic Sedan Auction (0001-21044876) | Grays Australia,2016-03,240712,Petrol,6,6G1FA5E55GL225429,https://www.grays.com/lot/0001-21044876/motor-vehicles-motor-cycles/2016-holden-commodore-evoke-vf-series-ii-automatic-sedan,5400,09 March 2025
1991,Mitsubishi,GTO,1991 Mitsubishi GTO Import Manual Coupe Auction (0001-21044883) | Grays Australia,1991-03,93304,Petrol,6,6U9000Z16A0005556,https://www.grays.com/lot/0001-21044883/motor-vehicles-motor-cycles/1991-mitsubishi-gto-import-manual-coupe,6209,09 March 2025
2015,Toyota,Rav,2015 Toyota Rav 4 FWD GX ZSA42R CVT Wagon Auction (0001-21044852) | Grays Australia,2015-05,156946,Petrol,4,JTMZDREV20D058754,https://www.grays.com/lot/0001-21044852/motor-vehicles-motor-cycles/2015-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,12000,09 March 2025
1995,Toyota,Commuter,1995 Toyota Commuter Automatic - 5 Speed Van Auction (0006-10347480) | Grays Australia,N/A,"504,631 Kms",Diesel,4,JT743LHC501004100,https://www.grays.com/lot/0006-10347480/motor-vehicles-motor-cycles/1995-toyota-commuter-automatic-5-speed-van,1609,10 March 2025
2012,Ford,Focus,2012 Ford Focus Trend LW II Turbo Diesel Automatic Hatchback Auction (0001-50711227) | Grays Australia,2012-07,386731,Diesel,4,MPB1XXMXB1CD04362,https://www.grays.com/lot/0001-50711227/motor-vehicles-motor-cycles/2012-ford-focus-trend-lw-ii-turbo-diesel-automatic-hatchback,3300,09 March 2025
2013,Mazda,CX-5,2013 Mazda CX-5 Maxx Sport KE Turbo Diesel Automatic Wagon Auction (0001-50711139) | Grays Australia,2013-03,195756,Diesel,4,JM0KE102100203892,https://www.grays.com/lot/0001-50711139/motor-vehicles-motor-cycles/2013-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,6534,09 March 2025
2006,Mercedes,Benz,2006 Mercedes Benz E280 Elegance W211 Automatic Sedan Auction (0001-21044841) | Grays Australia,2006-12,162530,Petrol,6,WDB2110542B099597,https://www.grays.com/lot/0001-21044841/motor-vehicles-motor-cycles/2006-mercedes-benz-e280-elegance-w211-automatic-sedan,4450,09 March 2025
2008,Mercedes,Benz,2008 Mercedes Benz CLC 200K CL203 Automatic Coupe Auction (0001-60047400) | Grays Australia,2008 - 12,238317,Petrol,4,WDB2037412E062963,https://www.grays.com/lot/0001-60047400/motor-vehicles-motor-cycles/2008-mercedes-benz-clc-200k-cl203-automatic-coupe,1710,09 March 2025
2014,Toyota,Kluger,2014 Toyota Kluger 4X2 GXL GSU50R Automatic 7 Seats Wagon Auction (0001-21044717) | Grays Australia,2014-03,159374,Petrol,6,5TDZK3FH30S019218,https://www.grays.com/lot/0001-21044717/motor-vehicles-motor-cycles/2014-toyota-kluger-4x2-gxl-gsu50r-automatic-7-seats-wagon,15000,09 March 2025
2010,Subaru,Impreza,2010 Subaru Impreza R (AWD) G3 Automatic Hatchback Auction (0001-21044828) | Grays Australia,2010-11,222526,Petrol,4,JF1GH7KS5BG052392,https://www.grays.com/lot/0001-21044828/motor-vehicles-motor-cycles/2010-subaru-impreza-r-awd-g3-automatic-hatchback,1009,09 March 2025
2006,Lexus,IS250,2006 Lexus IS250 Prestige Automatic Sedan Auction (0001-21044847) | Grays Australia,2006-02,219917,Petrol,6,JTHBK262005013839,https://www.grays.com/lot/0001-21044847/motor-vehicles-motor-cycles/2006-lexus-is250-prestige-automatic-sedan,1900,09 March 2025
2014,Ford,Ranger,2014 Ford Ranger XLT 4X4 PX Turbo Diesel Manual Dual Cab Auction (0001-10910374) | Grays Australia,2014-06,235707,Diesel,5,MNAUMFF50EW285165,https://www.grays.com/lot/0001-10910374/motor-vehicles-motor-cycles/2014-ford-ranger-xlt-4x4-px-turbo-diesel-manual-dual-cab,9700,09 March 2025
